Order ID,Customer ID,Customer Name,Region,Country,State,City,Category,Order Date,Ship Date,Order Status,Unit Price,Quantity,Total Sales,Unit Cost,Total Cost,Profit
ORD-2013027,CUST-1905,Joseph Jones,EMEA,Germany,Bavaria,Nuremberg,Furniture,2013-01-14,2013-01-23,Delivered,353.57,22,7778.54,287.93,6334.46,1444.08
ORD-2013199,CUST-1650,Barbara Garcia,APAC,Australia,New South Wales,Sydney,Software,2013-02-12,2013-02-17,Delivered,612.66,4,2450.64,281.6,1126.4,1324.24
ORD-2013122,CUST-1947,Sarah Davis,EMEA,France,Auvergne-Rhône-Alpes,Lyon,Electronics,2013-02-13,2013-02-15,Delivered,184.29,5,921.45,119.23,596.15,325.3
ORD-2013189,CUST-1216,Charles Hernandez,NA,United States,California,Los Angeles,Furniture,2013-02-22,2013-03-01,Processing,68.35,5,341.75,27.62,138.1,203.65
ORD-2013101,CUST-1849,Karen Lopez,NA,United States,New York,New York City,Office Supplies,2013-03-04,2013-03-08,Processing,617.37,25,15434.25,317.94,7948.5,7485.75
ORD-2013077,CUST-1080,Sarah Martinez,APAC,Japan,Osaka,Osaka,Electronics,2013-03-08,2013-03-18,Cancelled,668.78,29,19394.62,353.64,10255.56,9139.06
ORD-2013045,CUST-1081,Linda Brown,LATAM,Mexico,Jalisco,Guadalajara,Software,2013-04-14,2013-04-28,Cancelled,97.85,12,1174.2,67.13,805.56,368.64
ORD-2013081,CUST-1094,Richard Brown,LATAM,Mexico,Jalisco,Guadalajara,Electronics,2013-04-25,2013-04-30,Cancelled,304.34,24,7304.16,213.82,5131.68,2172.48
ORD-2013103,CUST-1081,Linda Brown,NA,Canada,Ontario,Ottawa,Electronics,2013-06-03,2013-06-11,Delivered,466.97,19,8872.43,271.77,5163.63,3708.8
ORD-2013037,CUST-1686,William Williams,NA,United States,New York,Buffalo,Software,2013-06-10,2013-06-24,Cancelled,19.63,12,235.56,10.49,125.88,109.68
ORD-2013065,CUST-1733,Sarah Wilson,APAC,Australia,Victoria,Melbourne,Furniture,2013-08-25,2013-09-05,Processing,258.94,1,258.94,167.93,167.93,91.01
ORD-2013070,CUST-1947,Sarah Davis,LATAM,Mexico,Jalisco,Guadalajara,Office Supplies,2013-10-31,2013-11-03,Shipped,701.24,15,10518.6,311.96,4679.4,5839.2
ORD-2013083,CUST-1849,Karen Lopez,LATAM,Brazil,São Paulo,São Paulo,Software,2013-11-01,2013-11-06,Shipped,91.3,29,2647.7,58.61,1699.69,948.01
ORD-2013159,CUST-1650,Barbara Garcia,LATAM,Mexico,Jalisco,Guadalajara,Electronics,2013-12-11,2013-12-16,Delivered,740.35,21,15547.35,381.58,8013.18,7534.17
ORD-2013186,CUST-1591,Michael Williams,EMEA,Germany,Berlin,Berlin,Furniture,2014-01-10,2014-01-20,Processing,27.73,18,499.14,22.76,409.68,89.46
ORD-2013073,CUST-1238,Thomas Martin,LATAM,Brazil,Rio de Janeiro,Rio de Janeiro,Electronics,2014-01-12,2014-01-18,Delivered,296.39,14,4149.46,137.97,1931.58,2217.88
ORD-2013180,CUST-1271,Robert Davis,EMEA,France,Auvergne-Rhône-Alpes,Lyon,Software,2014-01-20,2014-01-26,Delivered,561.6,14,7862.4,262.35,3672.9,4189.5
ORD-2013148,CUST-1234,Mary Hernandez,LATAM,Brazil,São Paulo,Campinas,Office Supplies,2014-02-03,2014-02-04,Cancelled,484.05,27,13069.35,336.13,9075.51,3993.84
ORD-2013099,CUST-1762,Sarah Moore,NA,United States,California,Los Angeles,Electronics,2014-02-12,2014-02-23,Delivered,362.84,14,5079.76,224.43,3142.02,1937.74
ORD-2013033,CUST-1238,Thomas Martin,LATAM,Brazil,São Paulo,Campinas,Furniture,2014-02-16,2014-02-25,Shipped,373.32,26,9706.32,227.39,5912.14,3794.18
ORD-2013086,CUST-1027,Sarah Miller,LATAM,Brazil,São Paulo,São Paulo,Office Supplies,2014-02-19,2014-03-04,Processing,791.22,26,20571.72,517.51,13455.26,7116.46
ORD-2013090,CUST-1094,Richard Brown,NA,Canada,British Columbia,Vancouver,Software,2014-05-14,2014-05-22,Cancelled,553.59,16,8857.44,398.91,6382.56,2474.88
ORD-2013127,CUST-1714,Susan Hernandez,LATAM,Mexico,Jalisco,Guadalajara,Software,2014-06-01,2014-06-13,Shipped,245.35,2,490.7,185.48,370.96,119.74
ORD-2013089,CUST-1692,Sarah Williams,EMEA,France,Auvergne-Rhône-Alpes,Lyon,Software,2014-06-05,2014-06-13,Delivered,417.89,4,1671.56,252.16,1008.64,662.92
ORD-2013006,CUST-1746,Linda Garcia,LATAM,Brazil,São Paulo,São Paulo,Electronics,2014-06-09,2014-06-15,Processing,476.93,1,476.93,206.01,206.01,270.92
